"","Animal","Cage","Strain","Genotype","Age","Assay","Values","Feeding","Treatment","Cohort"
"1","C57BL/6J-EarTag #102",2061503,"C57BL/6J","+/+",69,"Body Weight",22000,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"2","C57BL/6J-EarTag #103",2061503,"C57BL/6J","+/+",69,"Body Weight",25650,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"3","C57BL/6J-EarTag #104",2061503,"C57BL/6J","+/+",69,"Body Weight",25090,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"4","C57BL/6J-EarTag #105",2061503,"C57BL/6J","+/+",69,"Body Weight",25170,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"5","C57BL/6J-EarTag #106",2061504,"C57BL/6J","+/+",69,"Body Weight",25590,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"6","C57BL/6J-EarTag #107",2061504,"C57BL/6J","+/+",69,"Body Weight",23260,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"7","C57BL/6J-EarTag #108",2061504,"C57BL/6J","+/+",69,"Body Weight",24760,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"8","C57BL/6J-EarTag #109",2061504,"C57BL/6J","+/+",69,"Body Weight",24750,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"9","C57BL/6J-EarTag #110",2061504,"C57BL/6J","+/+",69,"Body Weight",26040,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"10","C57BL/6J-EarTag #111",2061505,"C57BL/6J","+/+",69,"Body Weight",27330,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"11","C57BL/6J-EarTag #112",2061505,"C57BL/6J","+/+",69,"Body Weight",24050,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"12","C57BL/6J-EarTag #113",2061505,"C57BL/6J","+/+",69,"Body Weight",25400,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"13","C57BL/6J-EarTag #114",2061505,"C57BL/6J","+/+",69,"Body Weight",25300,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"14","C57BL/6J-EarTag #115",2061506,"C57BL/6J","+/+",69,"Body Weight",24010,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"15","C57BL/6J-EarTag #116",2061506,"C57BL/6J","+/+",69,"Body Weight",23640,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"16","C57BL/6J-EarTag #117",2061506,"C57BL/6J","+/+",69,"Body Weight",21140,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"17","C57BL/6J-EarTag #118",2061506,"C57BL/6J","+/+",69,"Body Weight",21140,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"18","C57BL/6J-EarTag #119",2061507,"C57BL/6J","+/+",69,"Body Weight",24740,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"19","C57BL/6J-EarTag #120",2061507,"C57BL/6J","+/+",69,"Body Weight",22290,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"20","C57BL/6J-EarTag #121",2061507,"C57BL/6J","+/+",69,"Body Weight",27430,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"21","C57BL/6J-EarTag #122",2061507,"C57BL/6J","+/+",69,"Body Weight",24830,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"22","C57BL/6J-EarTag #123",2061508,"C57BL/6J","+/+",69,"Body Weight",21830,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"23","C57BL/6J-EarTag #124",2061508,"C57BL/6J","+/+",69,"Body Weight",22200,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"24","C57BL/6J-EarTag #125",2061508,"C57BL/6J","+/+",69,"Body Weight",23130,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"25","C57BL/6J-EarTag #126",2061508,"C57BL/6J","+/+",69,"Body Weight",22170,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"26","C57BL/6J-EarTag #127",2061508,"C57BL/6J","+/+",69,"Body Weight",20820,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"27","C57BL/6J-EarTag #128",2061509,"C57BL/6J","+/+",69,"Body Weight",24910,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"28","C57BL/6J-EarTag #129",2061509,"C57BL/6J","+/+",69,"Body Weight",24550,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"29","C57BL/6J-EarTag #130",2061509,"C57BL/6J","+/+",69,"Body Weight",22550,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"30","C57BL/6J-EarTag #131",2061509,"C57BL/6J","+/+",69,"Body Weight",24610,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
