Program,xPONENT,,LX100/LX200,,,,,,,,,,
Build,3.1.971.0,,,,,,,,,,,,
Date,11/15/13,4:26 PM,,,,,,,,,,,
,,,,,,,,,,,,,
SN,LX10013100401,,,,,,,,,,,,
Batch,New Batch 7,,,,,,,,,,,,
Version,1,,,,,,,,,,,,
Operator,,,,,,,,,,,,,
ComputerName,XPONENT31-PC,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,
ProtocolName,Bio-Plex Diabetes,,,,,,,,,,,,
ProtocolVersion,3,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,
ProtocolDevelopingCompany,BioRad,,,,,,,,,,,,
SampleVolume,50 uL,,,,,,,,,,,,
DDGate,5000 to 25000,,,,,,,,,,,,
SampleTimeout,200 sec,,,,,,,,,,,,
BatchStartTime,11/15/13 16:26,,,,,,,,,,,,
BatchStopTime,11/15/13 18:35,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1,,,,,,,
ProtocolMicrosphere,Map,100 regions,Type,MagPlex,Count,9,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,
,,,,,,,,,,,,,
Most Recent Calibration and Control Results:,,,,,,,,,,,,,
Last MagCAL1 Calibration,Passed 11/15/2013 4:14:20 PM,,,,,,,,,,,,
Last CAL2 Calibration,Passed 11/15/2013 4:15:17 PM,,,,,,,,,,,,
Last MagCON1 Verification,Passed 11/15/2013 4:16:37 PM,,,,,,,,,,,,
Last CON2 Verification,Passed 11/15/2013 4:17:15 PM,,,,,,,,,,,,
,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,
Classification Calibrator Magnetic,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,DDTemp,CL1Temp,CL2Temp,DDVolts,CL1Volts,CL2Volts,DDRVal,CL1RVal,CL2RVal,Result,MachineSerialNo
B32361,1/28/15,11/15/13 16:14,20.7,20.27,20.27,53.49,109.72,110.22,318,1112,1170,Pass,LX10013100401
Reporter Calibrator,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,RP1(1)Volts,RP1(1)Val,RP1(2)Volts,RP1(2)Val,Result,MachineSerialNo,,,,,
B31544,12/19/14,11/15/13 16:15,538.22,3742.87,665.2,17028.3,Pass,LX10013100401,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Samples,84,Min Events,50,Per Bead,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,
Location,Sample,Adiponectin,Resistin,GIP,PAI1,GLP1,Glucagon,Ghrelin,Leptin,Insulin,Total Events,,
"1(1,A1)",Standard 1,NaN,27131,9059,28498,13962,30893,26868,27523.5,25699,2977,,
"2(1,B1)",Standard 2,NaN,15140,6717,19877.5,11792,29207,14253,16930,20203,3893,,
"3(1,C1)",Standard 3,NaN,4804.5,3756.5,6971,5162,16459,3056.5,5848,7126,3651,,
"4(1,D1)",Standard 4,NaN,1446,1102,1283,1297,2811,325,1267.5,1198,3968,,
"5(1,E1)",Standard 5,NaN,559,756,510.5,358,930,132,473,266,3535,,
"6(1,F1)",Standard 6,192,242,489.5,125,202,304,97,186,96,3475,,
"7(1,G1)",Standard 7,NaN,176.5,392.5,69,202,244,84.5,127,57,3862,,
"8(1,H1)",Standard 8,NaN,147,366,56,167,225,89,106,48,3481,,
"9(1,A2)",Blank,NaN,142,299,45,68.5,106,89,102,47,2507,,
"10(1,B2)",47,NaN,6058.5,593,4859,172,812,18993.5,408,150,2684,,
"11(1,C2)",38,NaN,14010,455.5,4241.5,97,214,13960,5621,82,3392,,
"12(1,D2)",28,NaN,5687,417,3119.5,80,217,17686,965,64,3291,,
"13(1,E2)",40,NaN,12940.5,435,3018,88.5,179,7696,7845,88,3123,,
"14(1,F2)",46,NaN,11174.5,421,3957,104,248.5,15426.5,2149,83,3117,,
"15(1,G2)",45,NaN,13308.5,421,3648,93,214,8455,5025,99,4128,,
"16(1,H2)",31,NaN,15430.5,478,2831,97,188,11589,10540,130,3506,,
"17(1,A3)",42,NaN,17433,429,4638.5,99,222,5161,9604.5,172,2923,,
"18(1,B3)",43,NaN,13648,444,5619,96,243.5,5586,11002,170,2759,,
"19(1,C3)",33,NaN,7596.5,461,5243,88,217,6819.5,1280,81,3419,,
"20(1,D3)",44,NaN,10868,468,3002,85,240,12700.5,2635,83,3206,,
"21(1,E3)",34,NaN,15517.5,416,3247,87,220,7706,9792,94,3017,,
"22(1,F3)",27,NaN,5414.5,421,1979,84,178,7904.5,972,57,3364,,
"23(1,G3)",32,NaN,15106,567,9462.5,108,970,13522,5840,104,2911,,
"24(1,H3)",26,NaN,7508,553,6000,111,373.5,541,669.5,67,3039,,
"25(1,A4)",29,NaN,6405,412,2826.5,92,308,21391.5,625,60,2141,,
"26(1,B4)",36,NaN,10825,461,3687,87,314,6521.5,4968,51,2271,,
"27(1,C4)",30,NaN,4875.5,397,2567,86,171,17631,637.5,61,2033,,
"28(1,D4)",41,NaN,14983,469,4041,90.5,207,1483.5,10913,155,2097,,
"29(1,E4)",35,NaN,14805,466.5,3598,93,151,1623,11232.5,118.5,2399,,
"30(1,F4)",17,NaN,6581,409,1648.5,74,174,1370,5935,90,2276,,
"31(1,G4)",2,NaN,10051.5,407,1471,85.5,181,1678.5,8205.5,103,2571,,
"32(1,H4)",22,NaN,7419,386,1334,76,169,1034,3925,75.5,2817,,
"33(1,A5)",12,NaN,13021,798,2790.5,99,227.5,2149,12474,216,2352,,
"34(1,B5)",19,NaN,10298,700,7174.5,101.5,271,3064,8875,274,2828,,
"35(1,C5)",11,NaN,11817,619,2046,85,197.5,1778,8174.5,251,2694,,
"36(1,D5)",25,NaN,8618.5,514,1428.5,83.5,147,892,7014,97,3124,,
"37(1,E5)",21,NaN,3211.5,412,2131,73,154,1606,1248,66,2980,,
"38(1,F5)",15,NaN,3105,435,281,74,150,193,2275,57,2727,,
"39(1,G5)",16,NaN,5549,414,526,76,146,274.5,4819,88,2807,,
"40(1,H5)",20,NaN,3225,438,1860.5,81,161,704.5,3962,73,2991,,
"41(1,A6)",7,NaN,7997,446,3208,94,188,439,8986,174,2146,,
"42(1,B6)",228,1006,5620,404,1634,88,178,15227,182,67,2800,,
"43(1,C6)",227,NaN,166,377,48,69,127,93,105,45,2744,,
"44(1,D6)",203,NaN,159,372,45,66,117.5,89.5,102,46,2412,,
"45(1,E6)",212,870,4272,393,794.5,78,175,17734,126.5,60,1812,,
"46(1,F6)",204,NaN,1959,366,398,69,149,5159,117.5,46.5,2590,,
"47(1,G6)",211,NaN,1722,354,289.5,73,142.5,5182,124,43,2645,,
"48(1,H6)",190,NaN,1715,356,378.5,71.5,138,3763.5,126,49,3378,,
"49(1,A7)",186,NaN,5055,412,2091,79.5,202,10449,177.5,72.5,340,,
"50(1,B7)",185,NaN,157,392,49,71,123.5,86,104,45,2945,,
"51(1,C7)",220,552.5,5782,427.5,2975,90,242,17475,231.5,101,2318,,
"52(1,D7)",230,NaN,4961,416,1039,91,202,5901,139.5,63,2420,,
"53(1,E7)",210,NaN,3352,389,1161,82,176,6426,144,54,2629,,
"54(1,F7)",215,NaN,1828,367,288.5,73.5,147,7952,149.5,48.5,2513,,
"55(1,G7)",229,NaN,2399.5,339.5,306,70,149,6662,102,44,2622,,
"56(1,H7)",164,NaN,1632,360.5,274,71,145,4540.5,111,47,2749,,
"57(1,A8)",196,NaN,5186,435,2229,92,231,13445,177,62,1767,,
"58(1,B8)",201,NaN,5959,436,2818,87.5,239,20918,147,65,2646,,
"59(1,C8)",222,NaN,4742,407,1248,94,210,13126.5,154,53,2441,,
"60(1,D8)",224,NaN,5414,432,1501,84,214,16757,128,67,2029,,
"61(1,E8)",208,NaN,155.5,385,49,70,130,87,103,47,2106,,
"62(1,F8)",206,16,150,375,45,68,121.5,84,100,46,2106,,
"63(1,G8)",192,NaN,152.5,367,47,72,120,84,99.5,43.5,2617,,
"64(1,H8)",233,NaN,1607.5,377,396.5,75,154,5145,109,52,1634,,
"65(1,A9)",200,NaN,4520.5,428,1407,86,187,15338,156,57,2020,,
"66(1,B9)",Unknown57,NaN,155,371.5,47,75,124,86,101,48,2536,,
"67(1,C9)",223,NaN,4606,461,1392,90,232,7571,136,86,2867,,
"68(1,D9)",194,NaN,2326,462,628,79,177,5939,129,63,3743,,
"69(1,E9)",184,NaN,3213.5,386,1140,70,164,9749,126,56,3980,,
"70(1,F9)",221,NaN,159,372,47,70,116,87,102,46,4388,,
"71(1,G9)",Unknown62,NaN,4693,366,1387.5,68,153,12882,127,58,3919,,
"72(1,H9)",187,NaN,636,386,144,69,134,428,105,44,3572,,
"73(1,A10)",189,NaN,2411,404,664.5,70,155,4325,135,54,1750,,
"74(1,B10)",183,NaN,155,382.5,42,70,120,88,99,43,2367,,
"75(1,C10)",202,NaN,266,383,87,70,124,157.5,100,43,3237,,
"76(1,D10)",188,NaN,5922,433,1796,90,191,12822,147,64,2899,,
"77(1,E10)",219,NaN,4206,406,1112,78,179,12008.5,127,52,3416,,
"78(1,F10)",232,NaN,3603,380,1453,83,203,8319,183,54,3982,,
"79(1,G10)",217,NaN,3950,419,1138,79,189.5,14138,151,58,3777,,
"80(1,H10)",205,NaN,3371,372,1021,77,216,11397,148,81,3635,,
"81(1,A11)",193,NaN,4258,378.5,2026,88,178,6176,121,61,2982,,
"82(1,B11)",191,27,4297.5,392,1243,81,151,11819,128,51,2566,,
"83(1,C11)",226,NaN,5101,437,1762,86,199,16411,153,58,3113,,
"84(1,D11)",216,34,169,411,46,71,129,95,104.5,49,2813,,
"85(1,E11)",Empty,,,,,,,,,,,,
"86(1,F11)",Empty,,,,,,,,,,,,
"87(1,G11)",Empty,,,,,,,,,,,,
"88(1,H11)",Empty,,,,,,,,,,,,
"89(1,A12)",Empty,,,,,,,,,,,,
"90(1,B12)",Empty,,,,,,,,,,,,
"91(1,C12)",Empty,,,,,,,,,,,,
"92(1,D12)",Empty,,,,,,,,,,,,
"93(1,E12)",Empty,,,,,,,,,,,,
"94(1,F12)",Empty,,,,,,,,,,,,
"95(1,G12)",Empty,,,,,,,,,,,,
"96(1,H12)",Empty,,,,,,,,,,,,
,,,,,,,,,,,,,
DataType:,Net MFI,,,,,,,,,,,,
Location,Sample,Adiponectin,Resistin,GIP,PAI1,GLP1,Glucagon,Ghrelin,Leptin,Insulin,Total Events,,
"1(1,A1)",Standard 1,NaN,27131,9059,28498,13962,30893,26868,27523.5,25699,2977,,
"2(1,B1)",Standard 2,NaN,15140,6717,19877.5,11792,29207,14253,16930,20203,3893,,
"3(1,C1)",Standard 3,NaN,4804.5,3756.5,6971,5162,16459,3056.5,5848,7126,3651,,
"4(1,D1)",Standard 4,NaN,1446,1102,1283,1297,2811,325,1267.5,1198,3968,,
"5(1,E1)",Standard 5,NaN,559,756,510.5,358,930,132,473,266,3535,,
"6(1,F1)",Standard 6,192,242,489.5,125,202,304,97,186,96,3475,,
"7(1,G1)",Standard 7,NaN,176.5,392.5,69,202,244,84.5,127,57,3862,,
"8(1,H1)",Standard 8,NaN,147,366,56,167,225,89,106,48,3481,,
"9(1,A2)",Blank,NaN,142,299,45,68.5,106,89,102,47,2507,,
"10(1,B2)",Unknown1,NaN,6058.5,593,4859,172,812,18993.5,408,150,2684,,
"11(1,C2)",Unknown2,NaN,14010,455.5,4241.5,97,214,13960,5621,82,3392,,
