Animal,Genotype,Gender,Assay,Value,Strain,Background,Age,Cage,Feeding,Treatment
Muscle TSC1-EarTag #696,fl/fl; +/+,M,Body Weight,24440,Muscle TSC1,Mixed,54,1523768,fed,[]
Muscle TSC1-EarTag #695,fl/fl; Tg/+,M,Body Weight,24900,Muscle TSC1,Mixed,54,1523768,fed,[]
Muscle TSC1-EarTag #694,fl/fl; Tg/+,M,Body Weight,20150,Muscle TSC1,Mixed,54,1523768,fed,[]
Muscle TSC1-EarTag #697,fl/fl; Tg/+,M,Body Weight,20690,Muscle TSC1,Mixed,58,1523737,fed,[]
Muscle TSC1-EarTag #699,fl/fl; Tg/+,M,Body Weight,22890,Muscle TSC1,Mixed,58,1523737,fed,[]
Muscle TSC1-EarTag #698,fl/fl; +/+,M,Body Weight,19950,Muscle TSC1,Mixed,58,1523737,fed,[]
Muscle TSC1-EarTag #691,fl/fl; +/+,M,Body Weight,25070,Muscle TSC1,Mixed,49,1541444,fed,[]
Muscle TSC1-EarTag #692,fl/fl; Tg/+,M,Body Weight,25030,Muscle TSC1,Mixed,49,1541444,fed,[]
Muscle TSC1-EarTag #690,fl/fl; Tg/+,M,Body Weight,19740,Muscle TSC1,Mixed,49,1541444,fed,[]
Muscle TSC1-EarTag #689,fl/fl; Tg/+,M,Body Weight,26110,Muscle TSC1,Mixed,49,1541444,fed,[]
Muscle TSC1-EarTag #688,fl/fl; +/+,M,Body Weight,23550,Muscle TSC1,Mixed,49,1541444,fed,[]
Muscle TSC1-EarTag #15,fl/fl; +/+,M,Body Weight,18890,Muscle TSC1,Mixed,44,1541447,fed,[]
Muscle TSC1-EarTag #651,fl/+; +/+,M,Body Weight,19060,Muscle TSC1,Mixed,33,2005358,fed,[]
Muscle TSC1-EarTag #949,fl/fl; Tg/+,M,Body Weight,17850,Muscle TSC1,Mixed,33,1595611,fed,[]
Muscle TSC1-EarTag #948,fl/fl; Tg/+,M,Body Weight,19420,Muscle TSC1,Mixed,33,1595611,fed,[]
Muscle TSC1-EarTag #153,fl/fl; +/+,M,Body Weight,24900,Muscle TSC1,Mixed,72,1596296,fed,[]
Muscle TSC1-EarTag #154,fl/fl; Tg/+,M,Body Weight,27300,Muscle TSC1,Mixed,72,1596296,fed,[]
Muscle TSC1-EarTag #155,fl/fl; Tg/+,M,Body Weight,25200,Muscle TSC1,Mixed,70,1596298,fed,[]
Muscle TSC1-EarTag #156,fl/fl; Tg/+,M,Body Weight,27700,Muscle TSC1,Mixed,70,1596298,fed,[]
Muscle TSC1-EarTag #158,fl/fl; Tg/+,M,Body Weight,24200,Muscle TSC1,Mixed,70,1596298,fed,[]
Muscle TSC1-EarTag #159,fl/fl; Tg/+,M,Body Weight,24800,Muscle TSC1,Mixed,68,1596301,fed,[]
Muscle TSC1-EarTag #160,fl/fl; Tg/+,M,Body Weight,23300,Muscle TSC1,Mixed,70,1596301,fed,[]
Muscle TSC1-EarTag #161,fl/fl; Tg/+,M,Body Weight,24700,Muscle TSC1,Mixed,70,1596301,fed,[]
Muscle TSC1-EarTag #162,fl/fl; Tg/+,M,Body Weight,25900,Muscle TSC1,Mixed,70,1596301,fed,[]
Muscle TSC1-EarTag #163,fl/fl; Tg/+,M,Body Weight,22600,Muscle TSC1,Mixed,70,1596301,fed,[]
Muscle TSC1-EarTag #175,fl/fl; ?,M,Body Weight,31800,Muscle TSC1,Mixed,62,1596307,fed,[]
Muscle TSC1-EarTag #176,fl/fl; +/+,M,Body Weight,27200,Muscle TSC1,Mixed,62,1596307,fed,[]
Muscle TSC1-EarTag #166,fl/fl; Tg/+,M,Body Weight,20500,Muscle TSC1,Mixed,46,1596328,fed,[]
Muscle TSC1-EarTag #167,fl/fl; +/+,M,Body Weight,18600,Muscle TSC1,Mixed,46,1596328,fed,[]
Muscle TSC1-EarTag #168,fl/fl; Tg/+,M,Body Weight,22700,Muscle TSC1,Mixed,46,1596328,fed,[]
Muscle TSC1-EarTag #169,fl/fl; Tg/+,M,Body Weight,22300,Muscle TSC1,Mixed,46,1596328,fed,[]
Muscle TSC1-EarTag #170,fl/fl; Tg/+,M,Body Weight,22500,Muscle TSC1,Mixed,46,1596331,fed,[]
Muscle TSC1-EarTag #171,fl/fl; +/+,M,Body Weight,22900,Muscle TSC1,Mixed,46,1596331,fed,[]
Muscle TSC1-EarTag #172,fl/fl; +/+,M,Body Weight,21200,Muscle TSC1,Mixed,46,1596331,fed,[]
Muscle TSC1-EarTag #173,fl/fl; +/+,M,Body Weight,24300,Muscle TSC1,Mixed,46,1596331,fed,[]
Muscle TSC1-EarTag #174,fl/fl; +/+,M,Body Weight,21700,Muscle TSC1,Mixed,46,1596331,fed,[]
Muscle TSC1-EarTag #164,fl/fl; Tg/+,M,Body Weight,21700,Muscle TSC1,Mixed,43,1596326,fed,[]
Muscle TSC1-EarTag #165,fl/fl; Tg/+,M,Body Weight,21900,Muscle TSC1,Mixed,43,1596326,fed,[]
Muscle TSC1-EarTag #177,fl/fl; +/+,M,Body Weight,23500,Muscle TSC1,Mixed,49,1596321,fed,[]
