"","Animal","Cage","Strain","Genotype","Age","Assay","Values","Feeding","Treatment","Cohort","Weight","Week"
"1","C57BL/6J-EarTag #102","2061503","C57BL/6J","+/+",69,"Body Weight",22000,"fed","High Fat Diet","Cohort 3",22,0
"2","C57BL/6J-EarTag #103","2061503","C57BL/6J","+/+",69,"Body Weight",25650,"fed","High Fat Diet","Cohort 3",25.65,0
"3","C57BL/6J-EarTag #104","2061503","C57BL/6J","+/+",69,"Body Weight",25090,"fed","High Fat Diet","Cohort 3",25.09,0
"4","C57BL/6J-EarTag #105","2061503","C57BL/6J","+/+",69,"Body Weight",25170,"fed","High Fat Diet","Cohort 3",25.17,0
"5","C57BL/6J-EarTag #106","2061504","C57BL/6J","+/+",69,"Body Weight",25590,"fed","Normal Chow Diet","Cohort 3",25.59,0
"6","C57BL/6J-EarTag #107","2061504","C57BL/6J","+/+",69,"Body Weight",23260,"fed","Normal Chow Diet","Cohort 3",23.26,0
"7","C57BL/6J-EarTag #108","2061504","C57BL/6J","+/+",69,"Body Weight",24760,"fed","Normal Chow Diet","Cohort 3",24.76,0
"8","C57BL/6J-EarTag #109","2061504","C57BL/6J","+/+",69,"Body Weight",24750,"fed","Normal Chow Diet","Cohort 3",24.75,0
"9","C57BL/6J-EarTag #110","2061504","C57BL/6J","+/+",69,"Body Weight",26040,"fed","Normal Chow Diet","Cohort 3",26.04,0
"10","C57BL/6J-EarTag #111","2061505","C57BL/6J","+/+",69,"Body Weight",27330,"fed","High Fat Diet","Cohort 3",27.33,0
"11","C57BL/6J-EarTag #112","2061505","C57BL/6J","+/+",69,"Body Weight",24050,"fed","High Fat Diet","Cohort 3",24.05,0
"12","C57BL/6J-EarTag #113","2061505","C57BL/6J","+/+",69,"Body Weight",25400,"fed","High Fat Diet","Cohort 3",25.4,0
"13","C57BL/6J-EarTag #114","2061505","C57BL/6J","+/+",69,"Body Weight",25300,"fed","High Fat Diet","Cohort 3",25.3,0
"14","C57BL/6J-EarTag #115","2061506","C57BL/6J","+/+",69,"Body Weight",24010,"fed","High Fat Diet","Cohort 3",24.01,0
"15","C57BL/6J-EarTag #116","2061506","C57BL/6J","+/+",69,"Body Weight",23640,"fed","High Fat Diet","Cohort 3",23.64,0
"16","C57BL/6J-EarTag #117","2061506","C57BL/6J","+/+",69,"Body Weight",21140,"fed","High Fat Diet","Cohort 3",21.14,0
"17","C57BL/6J-EarTag #118","2061506","C57BL/6J","+/+",69,"Body Weight",21140,"fed","High Fat Diet","Cohort 3",21.14,0
"18","C57BL/6J-EarTag #119","2061507","C57BL/6J","+/+",69,"Body Weight",24740,"fed","High Fat Diet","Cohort 3",24.74,0
"19","C57BL/6J-EarTag #120","2061507","C57BL/6J","+/+",69,"Body Weight",22290,"fed","High Fat Diet","Cohort 3",22.29,0
"20","C57BL/6J-EarTag #121","2061507","C57BL/6J","+/+",69,"Body Weight",27430,"fed","High Fat Diet","Cohort 3",27.43,0
"21","C57BL/6J-EarTag #122","2061507","C57BL/6J","+/+",69,"Body Weight",24830,"fed","High Fat Diet","Cohort 3",24.83,0
"22","C57BL/6J-EarTag #123","2061508","C57BL/6J","+/+",69,"Body Weight",21830,"fed","Normal Chow Diet","Cohort 3",21.83,0
"23","C57BL/6J-EarTag #124","2061508","C57BL/6J","+/+",69,"Body Weight",22200,"fed","Normal Chow Diet","Cohort 3",22.2,0
"24","C57BL/6J-EarTag #125","2061508","C57BL/6J","+/+",69,"Body Weight",23130,"fed","Normal Chow Diet","Cohort 3",23.13,0
"25","C57BL/6J-EarTag #126","2061508","C57BL/6J","+/+",69,"Body Weight",22170,"fed","Normal Chow Diet","Cohort 3",22.17,0
"26","C57BL/6J-EarTag #127","2061508","C57BL/6J","+/+",69,"Body Weight",20820,"fed","Normal Chow Diet","Cohort 3",20.82,0
"27","C57BL/6J-EarTag #128","2061509","C57BL/6J","+/+",69,"Body Weight",24910,"fed","Normal Chow Diet","Cohort 3",24.91,0
"28","C57BL/6J-EarTag #129","2061509","C57BL/6J","+/+",69,"Body Weight",24550,"fed","Normal Chow Diet","Cohort 3",24.55,0
"29","C57BL/6J-EarTag #130","2061509","C57BL/6J","+/+",69,"Body Weight",22550,"fed","Normal Chow Diet","Cohort 3",22.55,0
"30","C57BL/6J-EarTag #131","2061509","C57BL/6J","+/+",69,"Body Weight",24610,"fed","Normal Chow Diet","Cohort 3",24.61,0
"31","C57BL/6J-EarTag #132","2061509","C57BL/6J","+/+",69,"Body Weight",25550,"fed","Normal Chow Diet","Cohort 3",25.55,0
"32","C57BL/6J-EarTag #133","2061510","C57BL/6J","+/+",69,"Body Weight",26050,"fed","High Fat Diet","Cohort 3",26.05,0
"33","C57BL/6J-EarTag #134","2061510","C57BL/6J","+/+",69,"Body Weight",26650,"fed","High Fat Diet","Cohort 3",26.65,0
"34","C57BL/6J-EarTag #135","2061510","C57BL/6J","+/+",69,"Body Weight",26720,"fed","High Fat Diet","Cohort 3",26.72,0
"35","C57BL/6J-EarTag #136","2061510","C57BL/6J","+/+",69,"Body Weight",26770,"fed","High Fat Diet","Cohort 3",26.77,0
"36","C57BL/6J-EarTag #102","2061503","C57BL/6J","+/+",83,"Body Weight",25650,"fed","High Fat Diet","Cohort 3",25.65,2
