"","Measurement","Control Diet_estimate","Control Diet_p.value","High Fat Diet_estimate","High Fat Diet_p.value","High Fat Diet_q.value","Control Diet_q.value"
"2","Relative Fasting Response",-0.334453781512605,0.0537587075323226,-0.610399478940512,6.6002321730233e-06,6.6002321730233e-05,0.357488850074201
"9","Leptin",-0.0577717190274766,0.851295956543329,0.29684964215834,0.191305168233221,0.908651821855588,0.891846567393224
"6","GLP1",0.0440165478304584,0.886463863477343,0.143786871162607,0.534065808603539,0.908651821855588,0.891846567393224
"7","Glucagon",0.131868131868132,0.669269053658082,0.105194805194805,0.649067964699023,0.908651821855588,0.891846567393224
"5","PAI1",0.0769230769230769,0.806530367444286,0.0636363636363636,0.784224236853884,0.908651821855588,0.891846567393224
"8","Ghrelin",-0.115384615384615,0.709624772741501,-0.0474179953557086,0.838271437194547,0.908651821855588,0.891846567393224
"4","GIP",-0.299862732094998,0.319547812077836,-0.038324133232696,0.868999679102652,0.908651821855588,0.891846567393224
"3","Resistin",-0.120879120879121,0.696084751435753,0.0363636363636364,0.876677637827881,0.908651821855588,0.891846567393224
"1","Initial Body Weight",-0.30837129737495,0.0714977700148401,-0.0284615384615385,0.893174893570786,0.908651821855588,0.357488850074201
"10","Insulin",0.043956043956044,0.891846567393224,0.0266667019191216,0.908651821855588,0.908651821855588,0.891846567393224
