"","gene_biotype","external_gene_name","ensembl_gene_id"
"1","Mt_tRNA","mt-Tp","ENSMUSG00000064372"
"2","Mt_tRNA","mt-Tt","ENSMUSG00000064371"
"3","protein_coding","mt-Cytb","ENSMUSG00000064370"
"4","Mt_tRNA","mt-Te","ENSMUSG00000064369"
"5","protein_coding","mt-Nd6","ENSMUSG00000064368"
"6","protein_coding","mt-Nd5","ENSMUSG00000064367"
"7","Mt_tRNA","mt-Tl2","ENSMUSG00000064366"
"8","Mt_tRNA","mt-Ts2","ENSMUSG00000064365"
"9","Mt_tRNA","mt-Th","ENSMUSG00000064364"
"10","protein_coding","mt-Nd4","ENSMUSG00000064363"
"11","protein_coding","mt-Nd4l","ENSMUSG00000065947"
"12","Mt_tRNA","mt-Tr","ENSMUSG00000064361"
"13","protein_coding","mt-Nd3","ENSMUSG00000064360"
"14","Mt_tRNA","mt-Tg","ENSMUSG00000064359"
"15","protein_coding","mt-Co3","ENSMUSG00000064358"
"16","protein_coding","mt-Atp6","ENSMUSG00000064357"
"17","protein_coding","mt-Atp8","ENSMUSG00000064356"
"18","Mt_tRNA","mt-Tk","ENSMUSG00000064355"
"19","protein_coding","mt-Co2","ENSMUSG00000064354"
"20","Mt_tRNA","mt-Td","ENSMUSG00000064353"
"21","Mt_tRNA","mt-Ts1","ENSMUSG00000064352"
"22","protein_coding","mt-Co1","ENSMUSG00000064351"
"23","Mt_tRNA","mt-Ty","ENSMUSG00000064350"
"24","Mt_tRNA","mt-Tc","ENSMUSG00000064349"
"25","Mt_tRNA","mt-Tn","ENSMUSG00000064348"
"26","Mt_tRNA","mt-Ta","ENSMUSG00000064347"
"27","Mt_tRNA","mt-Tw","ENSMUSG00000064346"
"28","protein_coding","mt-Nd2","ENSMUSG00000064345"
"29","Mt_tRNA","mt-Tm","ENSMUSG00000064344"
"30","Mt_tRNA","mt-Tq","ENSMUSG00000064343"
"31","Mt_tRNA","mt-Ti","ENSMUSG00000064342"
"32","protein_coding","mt-Nd1","ENSMUSG00000064341"
"33","Mt_tRNA","mt-Tl1","ENSMUSG00000064340"
"34","Mt_rRNA","mt-Rnr2","ENSMUSG00000064339"
"35","Mt_tRNA","mt-Tv","ENSMUSG00000064338"
"36","Mt_rRNA","mt-Rnr1","ENSMUSG00000064337"
"37","Mt_tRNA","mt-Tf","ENSMUSG00000064336"
"38","processed_pseudogene","Gm28070","ENSMUSG00000101673"
"39","antisense","Gm16322","ENSMUSG00000087456"
"40","processed_pseudogene","Gm8495","ENSMUSG00000101615"
"41","IG_V_pseudogene","Igkv3-11","ENSMUSG00000105499"
"42","snoRNA","Gm25402","ENSMUSG00000064900"
"43","miRNA","Mir705","ENSMUSG00000076012"
"44","miRNA","Gm25570","ENSMUSG00000094357"
"45","protein_coding","Rarres2","ENSMUSG00000009281"
"46","miRNA","Gm25470","ENSMUSG00000093317"
"47","miRNA","Gm27317","ENSMUSG00000098691"
"48","miRNA","Gm24308","ENSMUSG00000094466"
"49","miRNA","Mir680-1","ENSMUSG00000076212"
"50","snRNA","Gm22363","ENSMUSG00000065034"
"51","protein_coding","Gcfc2","ENSMUSG00000035125"
"52","miRNA","Gm22892","ENSMUSG00000089263"
"53","miRNA","Gm24855","ENSMUSG00000078042"
"54","miRNA","Gm24563","ENSMUSG00000092928"
"55","snRNA","Gm24592","ENSMUSG00000084454"
"56","protein_coding","Rho","ENSMUSG00000030324"
"57","miRNA","Gm25111","ENSMUSG00000080336"
"58","protein_coding","Slco2a1","ENSMUSG00000032548"
"59","snoRNA","Gm25185","ENSMUSG00000088379"
"60","protein_coding","Mical3","ENSMUSG00000051586"
"61","misc_RNA","Gm27699","ENSMUSG00000098963"
"62","misc_RNA","Gm25780","ENSMUSG00000084477"
"63","protein_coding","Clec1b","ENSMUSG00000030159"
"64","antisense","D430036J16Rik","ENSMUSG00000097466"
"65","protein_coding","Kdm3a","ENSMUSG00000053470"
"66","protein_coding","Coro2b","ENSMUSG00000041729"
"67","processed_pseudogene","Gm14644","ENSMUSG00000080321"
"68","scaRNA","Gm24718","ENSMUSG00000088146"
"69","processed_pseudogene","Gm1947","ENSMUSG00000083841"
"70","processed_pseudogene","Gm14893","ENSMUSG00000083605"
"71","processed_pseudogene","Gm14674","ENSMUSG00000082863"
"72","snRNA","Gm24522","ENSMUSG00000065898"
"73","processed_pseudogene","RP24-162F23.9","ENSMUSG00000105422"
"74","unprocessed_pseudogene","Gm16428","ENSMUSG00000082817"
"75","ribozyme","Gm26351","ENSMUSG00000088157"
"76","processed_pseudogene","Gm6446","ENSMUSG00000080915"
"77","TEC","Gm37956","ENSMUSG00000104064"
"78","misc_RNA","Gm23028","ENSMUSG00000089398"
"79","processed_pseudogene","RP24-323L24.2","ENSMUSG00000106308"
"80","unprocessed_pseudogene","Gm7916","ENSMUSG00000081477"
"81","rRNA","n-R5s13","ENSMUSG00000070219"
"82","protein_coding","Cntn3","ENSMUSG00000030075"
"83","antisense","Gm26560","ENSMUSG00000097029"
"84","snRNA","Gm27510","ENSMUSG00000088839"
"85","processed_pseudogene","Gm15057","ENSMUSG00000083375"
"86","transcribed_processed_pseudogene","Gm6222","ENSMUSG00000083019"
"87","snoRNA","Gm26029","ENSMUSG00000089284"
"88","miRNA","Gm25942","ENSMUSG00000096721"
"89","snoRNA","SNORA76","ENSMUSG00000104536"
"90","snoRNA","Gm24230","ENSMUSG00000077501"
"91","lincRNA","Gm17412","ENSMUSG00000094999"
"92","miRNA","Gm23365","ENSMUSG00000092760"
"93","rRNA","n-R5s5","ENSMUSG00000065068"
"94","protein_coding","Gm10471","ENSMUSG00000073116"
"95","miRNA","Gm23961","ENSMUSG00000096079"
"96","protein_coding","Gm6121","ENSMUSG00000080725"
"97","snRNA","Gm25366","ENSMUSG00000089470"
"98","protein_coding","Drd5","ENSMUSG00000039358"
"99","snRNA","Gm22946","ENSMUSG00000089183"
"100","snoRNA","Gm25429","ENSMUSG00000088232"
"101","processed_pseudogene","Gm6447","ENSMUSG00000083908"
"102","scaRNA","Gm25434","ENSMUSG00000088903"
"103","miRNA","Mir450b","ENSMUSG00000076050"
"104","miRNA","Mir465","ENSMUSG00000070071"
